block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,1,left_cong,1,cong,green,green,1,0.9843,0.9881
1,2,1,left_cong,1,cong,green,green,1,0.3872,0.3881
1,3,1,left_cong,1,cong,green,,0,,
1,4,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,,0,,
1,2,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,green,1,1.1472,1.1508
1,2,1,left_cong,1,cong,green,green,1,0.8176,0.8216
1,3,1,left_cong,1,cong,green,green,1,0.6682,0.6726
1,4,1,left_cong,1,cong,green,green,1,0.7947,0.799
1,5,0,right_cong,1,cong,red,red,1,1.0126,1.0167
1,1,1,left_cong,1,cong,green,green,1,1.293,1.2979
1,2,1,left_cong,1,cong,green,green,1,0.9498,0.9522
1,1,1,left_cong,1,cong,green,green,1,1.053,1.0571
1,2,1,left_cong,1,cong,green,green,1,0.432,0.433
1,3,1,left_cong,1,cong,green,,0,,
1,4,1,left_cong,1,cong,green,,0,,
1,5,0,right_cong,1,cong,red,red,1,1.2926,1.2961
1,1,1,left_cong,1,cong,green,green,1,1.2207,1.2259
1,2,1,left_cong,1,cong,green,green,1,1.0599,1.0637
1,3,1,left_cong,1,cong,green,,0,,
1,4,1,left_cong,1,cong,green,,0,,
